algo_a,algo_b,entrance_a,seed,winner,a_moves,b_moves,a_waits,b_waits,a_items_collected,b_items_collected,a_efficiency,b_efficiency,move_margin,a_items_left,a_items_right,b_items_left,b_items_right,a_distribution,b_distribution,a_cross_cluster_trips,b_cross_cluster_trips,a_t_corridor_visits,a_b_corridor_visits,b_t_corridor_visits,b_b_corridor_visits,a_bottleneck_visits,b_bottleneck_visits,a_detour_ratio,b_detour_ratio,a_aisle_A1,a_aisle_A2,a_aisle_A4,a_aisle_A5,b_aisle_A1,b_aisle_A2,b_aisle_A4,b_aisle_A5,a_blocks_caused,b_blocks_caused,a_blocked_at_bottleneck,b_blocked_at_bottleneck,a_trap_attempts,a_trap_successes,b_trap_attempts,b_trap_successes,a_total_search_calls,a_total_nodes_expanded,a_avg_nodes_per_call,a_max_frontier,a_search_time_us,a_avg_time_per_call_us,b_total_search_calls,b_total_nodes_expanded,b_avg_nodes_per_call,b_max_frontier,b_search_time_us,b_avg_time_per_call_us,a_avg_nodes_per_move,b_avg_nodes_per_move,game_time_us,total_turns,game_id,trial
BFS,UCS,Bottom,81,A,9,8,0,0,12,9,1.3333,1.5,1,7,5,5,7,moderate,moderate,1,1,3,1,1,2,1,0,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,121,2504,20.69,6,2446.2,20.22,125,3207,25.66,7,3506.2,28.05,164.1,215.1,7250.6,8,39,9
BFS,UCS,Bottom,82,A,9,8,0,0,12,9,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,3,1,1,3,1,1,1.0,1.0,1,2,1,1,0,1,1,1,0,0,0,0,7,0,6,0,143,3040,21.26,6,3114.7,21.78,152,4121,27.11,7,4600.8,30.27,195.2,271.1,9243.7,8,40,10
DFS,BFS,Top,83,Timeout,200,200,0,0,4,5,0.06,0.06,0,8,4,4,8,moderate,moderate,0,0,1,0,98,2,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,3614,58376,16.15,8,70211.1,19.43,3138,69437,22.13,6,79599.1,25.37,157.9,188.4,187371.3,200,41,1
DFS,BFS,Top,84,Timeout,200,200,0,0,7,4,0.06,0.06,0,5,7,7,5,moderate,moderate,0,0,1,0,98,2,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,2427,40463,16.67,8,41285.5,17.01,3530,68557,19.42,6,68312.0,19.35,113.9,180.8,151188.1,200,42,2
DFS,BFS,Top,85,B,10,9,0,1,6,12,1.2,1.3333,1,6,6,6,6,balanced,balanced,0,1,1,0,3,1,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,156,2757,17.67,7,2877.0,18.44,169,3989,23.6,6,3910.0,23.14,143.4,215.0,8488.3,9,43,3
DFS,BFS,Top,86,B,10,9,0,1,6,12,1.2,1.3333,1,6,6,6,6,balanced,balanced,0,1,1,0,3,1,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,164,2967,18.09,7,2995.5,18.27,149,3033,20.36,6,2857.6,19.18,153.4,173.8,7475.6,9,44,4
DFS,BFS,Top,87,B,10,9,0,1,7,12,1.2,1.3333,1,5,7,7,5,moderate,moderate,0,1,1,0,3,1,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,143,2492,17.43,7,2546.0,17.8,151,3221,21.33,6,3051.8,20.21,131.2,179.3,7083.3,9,45,5
DFS,BFS,Top,88,B,10,9,0,1,7,12,1.2,1.3333,1,5,7,7,5,moderate,moderate,0,1,1,0,3,1,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,145,2555,17.62,7,2523.0,17.4,147,2996,20.38,6,2861.0,19.46,134.2,169.7,15971.0,9,46,6
DFS,BFS,Top,89,B,10,9,0,1,6,12,1.2,1.3333,1,6,6,6,6,balanced,balanced,0,1,1,0,3,1,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,160,2883,18.02,7,3203.5,20.02,161,3539,21.98,6,3558.1,22.1,149.4,195.8,8557.2,9,47,7
DFS,BFS,Top,90,Timeout,200,200,0,0,5,4,0.06,0.06,0,7,5,5,7,moderate,moderate,0,0,1,0,98,2,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,3217,52903,16.44,8,57503.0,17.87,3530,73501,20.82,6,77888.1,22.06,144.5,197.6,181495.3,200,48,8
